,tweets,user_name,location,geo
43,@MattsIdeaShop Anyone can get away with anything in Covid...speeding camera trap? You’re an essential worker — Covi… https://t.co/9Ba5uiNvub,AWhiteGuy4,,
44,"$SCI With human life expectancy probably declining because of COVID-19, this may be the stock to buy. https://t.co/jvzss1PTyt",StevenPGregory1,"Alabama, USA",
45,"COVID-19: Churches, Mosques To Reopen in Ogun August 14 –Dapo Abiodun https://t.co/dKS7Sn1Awh",MEGACROWN,Lagos,
46,@ATLfark Look if there's a chance of dream demon sex giving me COVID I have to pass,yesido84,"Twin Cities, MN",
47,@capnporgporg @raulagrait @chrislhayes And unfortunately one that my admin (among others) seems to ignore. I'm watc… https://t.co/W9i5y3LsgW,princesswitch4,,
48,"To learn more about the district’s four instructional models available to you, read the Reopening Toolkit and revie… https://t.co/S9u3qKW6bV",VillasElem,"Fort Myers, Florida",
49,@19Rose68 @Reuters @mickiebrownkie A person was killed by a shark - *you* put *Covid* in there for your political r… https://t.co/NCSl4xk9mb,SRtwofourfour,southa 50,
50,@RealBrysonGray Fauci was part of the research that found HCQ was effective against SARS-COV-1. SARS-COV-2 (Covid-1… https://t.co/E3LVdsBRZp,yellowshell59,"Lubbock, TX",
51,Y’all need to have this energy with covid. https://t.co/Hm19lsCwNm,beephaniee,,
52,Here’s our work spelled out in a nutshell peeps. #Trump’s mishandling of the #Covid_19 virus has killed 150K and ri… https://t.co/cY9ThZvtJM,PaulaRoyce,New Orleans,
53,Sorrento Therapeutics announces rapid COVID-19 diagnostic saliva test with 30-minute results  https://t.co/wOt21hEl9e $SRNE,jfigueredo,"Aventura, FL",
54,"@chad_i @GovMurphy None of them had authority it’s called the US constitution the 1st Amendment read it.. 
 my neig… https://t.co/yAzHUKQk7R",Ruf42Q,,
55,"Every time I see someone not wearing their mask, I want to peel my own face off and chase them screaming, ""FINE! FI… https://t.co/L0rgjUjCr0",ajohnagnello,"Ithaca, NY",
56,@hlollar70 @garymorgan3742 @seanhannity Your screenshot literally contains the words “Based on death certificate da… https://t.co/L39MQI6E3D,PRider1980,,
57,"@DonaldJTrumpJr President Trump Lies

President Trump stirs hatred 

President Trump supports honoring Confederate… https://t.co/0u4bF6zUME",blueyes988,,
58,"Yes, we know Parson has handled COVID horribly.

Can we also talk about his horribly cruel criminal ""injustice"" pla… https://t.co/XbxnPWn13L",handle82651,,
59,@momwithboys @edmundmusic @BernieSanders Explain why you need F35s and Apache helicopters to fight covid,adamlotus,,
60,"@LadyOutrage_ @Lit_On_The_Left @TTasticDesigns @politico No i think you don't get it

That's with all of the variab… https://t.co/cG4DD2ZY1y",Jay333N,"Los Angeles, CA",
61,I'm still painting portraits for COVID relief! Hit me up if you want one 🙌 https://t.co/QtFVxUrNt0,dinasophiaart,"Los Angeles, CA",
62,@thehill COVID https://t.co/KlToJniMf6,TerrElReyLeon,"Pennsylvania, USA",
63,"“Even though the German shepherd likely had cancer, his health records show how little we know about animals and th… https://t.co/s3AxlpTS4h",Nikki_T,LA ,
64,"@realDonaldTrump You let 140,000 (and counting) Americans die of Covid 19. What’s all that about??",playpiece,California 🌵🌲🌴,
65,"You say whati?😂😂
Nust already has a covid case🙅🏽‍♂️ https://t.co/OCTduYVYtL",SirElpatron67,,
66,WHERE’S THE PROOF? Bar and restaurant owners demand to see specific data that their establishments caused a spike i… https://t.co/vIDPwBz6Yq,JillianWPXI,"Pittsburgh, PA",
67,Exclusive: COVID-19 (singapore) https://t.co/KnfaJhZygG,withoutname2020,,
68,@FullerAgg I just wonder how this tweet even makes sense bud. I can tell you know how COVID works.,ivanrodz10,"Houston, TX",
69,@bryannemo62 @GavinNewsom the countries that don't have COVID anymore didn't have masks so bad job at defending yourself,AlanParishhi,Reality,
70,Let's play the fun game - is it allergies or is it covid?! 🙃,ChristinaGGames,Alberta,
71,"As the state works to prevent the spread of COVID-19, plans to further restrict fitness centers and gymnastics gyms… https://t.co/Q1xNDqLqti",AlisonKIRO7,Seattle,
72,Spending on Shopify surpasses eBay as Covid-19 sends shoppers online https://t.co/MLXyAX2XIn via @financialtimes,rajit_h,Sri Lanka,
73,"@thekapman Missing the point, Kap. MLB doesn’t want any actions that could result in unnecessary close player conta… https://t.co/497fM9n5ca",yamakaw1,,
74,Trump bleach &amp;!detergent injection info is nothing compared to Trump mentor! Meet Dr. Stella Immanuel she argues th… https://t.co/BnlWCUCcEL,Peace_Marketer,,
75,@AngelaBelcamino @gunsnroses @axlrose @Slash Live and let die you must be white 🙄 such ignorance  what if all your… https://t.co/Q5XG19uvh3,Domie55916276,Winnipeg MB ,
76,"Finally got my COVID stimulus money today. Unlike everyone else, I was responsible with mine. 
Paid a mortgage payment with it.",CarasikS,"Marietta, GA",
77,"@EvanAKilgore @realDonaldTrump Yep, that is why Cuomo and others sent Covid positive patients to nursing homes.",Allen12838496,Colorado,
78,@KoiTrice Orrrrr covid brought me back and twitter has better porn 😏,msniki__,,
79,"@BorisOsery This Fed Gov makes me so Angry.
My dads been neglected in Aged Care (only been there a wk) he was in 🏥… https://t.co/OJAHZSWFK0",LorraineBranna2,"Melbourne, Victoria",
80,"@GameDayOJ @tenantfit I take back what I said. After seeing Trumps’ Retweets about the Alien DNA demon sex Covid doctor lady, I was wrong. 😂",Swikky,"Houston, TX",
81,@kOsmikcoffee You haven't heard of the Savior of Covid???,Chillybillz,,
82,@carolyn_cheng57 Supernatural??? Ended tho??? Or at least they’re trying to lmao shoutout to Covid,samthingblue,,
83,"""I'm absolutely furious.""
#covid19australia 
https://t.co/KvhMVeL8Ck",GOAT_aus,Australia,
84,"For those that asked....
My experience coming back to set with the COVID safety protocols

#safetyfirst #covid19… https://t.co/hAmBtpsesu",shaneleDP,So Cal,
85,Virus dogs unleashed to sniff out COVID carriers https://t.co/4YSaj10Vhx,jodieobrien,Australia,
86,Got my covid test. Hopefully it’s all good. Results in a week they said.,bechobbit,SoCAL,
87,@bluebirdburner @jeameabea @realCheeto1 @WhiteHouse @realDonaldTrump The world is getting along fine. Most western… https://t.co/6vMJ8Pinj8,jonny1436,,
88,@pmoneyxoxo WHO HAS IT I THOUGHT WE WERE COVID FREE????????,warpigwarpiigs,Chromatica,
89,"@stclairashley Didn't they ""misplace"" the entire stack? Nice little project but factor that times tens of millions… https://t.co/fCwRUm2loB",rightwaysgunner,United States,
90,"Top 10 causes of death in U.S. (annual average) vs #COVID19 (so far)

Heart disease: 647K
Cancer: 599K
Accidents: 1… https://t.co/J42Ebr0b0n",PolicialCrazies,,
91,"Ya'll can shit on an FB fundraiser but I've almost raised $1,200 for COVID homeless relief in 8 days so STAY MAD",madclairerob,CA/VA,
92,@zerohedge What last longer. Covid hysteria or lie RBG is still alive,CryptoFraggle,United States,
93,"OnwardCO is built for individuals impacted by job loss during the COVID-19 pandemic, connecting you to essential li… https://t.co/nxdK0cRIp2",Onward_Colorado,Colorado,
94,@H_MitchellPhoto Actually sweaty Jim Jordan is the carrier. His sweat flies out of his hair when hes flailing aroun… https://t.co/gTpawD55sx,rosarioalcala,"Austin, TX",
95,Rebecca Judd EXPLODES at Victorian officials for letting people with COVID-19 leave their homes… https://t.co/U95SesSNVA,vishne0,India,
96,Mentioned this on the pod...the best thing about Showtime’s schedule is that it’s built for Covid. No tent pole sta… https://t.co/oDdOAi5AeR,Fistianadospod,"Los Angeles, CA",
97,"It means a functional economy, fellow citizens eating and living in houses, less covid and lower crime https://t.co/YNThyEypj3",ShockleyRachel,"Durango, CO",
98,@GOPLeader How's Congressman Covid doing?,g_berish,,
99,"@maxweston21 @proatc @AlyTrost Players coming in to KC community from Florida, Texas, Louisiana, Mississippi etc. a… https://t.co/dqv9qN7I50",novak2324,"Hell, Earth ",
100,Just a few nations driving much of world's COVID-19 surge https://t.co/KSMQzXQ4hb,drjohnmorley,St louis,
101,Lazio Region to conduct coronavirus tests on passengers arriving in Rome by bus from abroad. People arriving into R… https://t.co/1ow7nglDRT,H24News_,,
102,"According to ABC24, over 700 new cases of Covid expected today. A new record. Looks like Victoria will be in lockdo… https://t.co/nQTMf0eLuu",JustSay32330928,"Melbourne, Victoria",
103,Seems like an unfortunate new record today: 723 new COVID-19 cases in the last 24 hours in Victoria.,BurneTom,"Queensland, Australia",
104,@IngrahamAngle The US was always going to come out of this looking terrible whether the numbers were legit or not.… https://t.co/rKyp8vcRCr,Greg_Tolan,,
105,@OrthoFolks I look forward to it. I'm thinking of looking at the effect COVID-19 has on the efficacy of PRP in the… https://t.co/ciSKGuJpUH,GAbelseth,,
106,"@OutOfTheDarkAge @cnpaiva @Covid19Crusher @MSingletonMDJD ""We have concluded that there is no beneficial effect of… https://t.co/zDlJUmPdHQ",LAWriter,"Los Angeles, CA",
107,I think it has to do more with Americans’ unwillingness to care about other people than our (awful) medicine model.… https://t.co/Yx5z9TNr9L,gemini6ice,"Boston, MA",
108,@YourePerfidy @LaylaMoran You're right but isn't it more about aiming for zero covid than actually achieving it? Ke… https://t.co/CGxL8q89er,Laughing_John,,
109,"Teachers who defy Covid orders, frequenting nail, hair salons, gyms and retail stores and going on vacays while ref… https://t.co/PABM0lRmtu",JenTheRiot,http://www.jennifertheriot.com,
110,@tylerperry What chance does Covid have against the great TP?,VivianDark78,US-Europe-SE Asia-ME,
111,"Questionable line items on PH COVID-19 ledger:

-P4M nucleic acid extractor (similar equipment  bought by private s… https://t.co/6DpjifzS31",DeeCMeyer,,
112,"@PaulineHansonOz apparently, COVID causes severe swelling of the lips, be on the lookout for it",Andrew90353277,,
113,"@ChrisCuomo Please contact @nolawren about her COVID experience.  I will PM her #.  She’s on round 2, lives in NYC,… https://t.co/svvrSsoJ9S",innertattoo,NYC Area,
114,I foolishly decided to respond to a “the money we spend on public health measures to fight COVID-19 should be spent… https://t.co/o1FVA1SIIz,newmo99,"Kentucky, USA",
115,only disease worse than covid....is the engagement fever,carly_vh,Saint Joseph's University '19,
116,@MaxBoot Name one thing he’s done worse then kill 4000+ elderly that couldn’t defend themselves?  That’s just NY.… https://t.co/zICAvsrjNn,kedwards63,United States,
117,knew i recognized covid duncan keith https://t.co/ooVkmTtyD0,hockeypanda,philly,
118,"#COVID-19CURES ""NOBODY NEEDS TO DIE"" - FRONTLINE DOCTORS STORM D.C. - ""THOUSANDS OF DOCTORS"" ARE BEING SILENCED",WitnessnewsI,,
119,@Peacekeeper876 @kes1doc_karen @pressecwonkyeye @thespybrief Test case for other destructive natural disasters and Covid combo.,mjc5169,,
120,"@realDonaldTrump @FoxNews Why are taxpayers paying for your campaign fund raising, COVID-19 spreading trips. Your c… https://t.co/RE5pFSCNof",Jaxson5280,,
121,@hmfaigen To me-and maybe it’s just me-the next clippers game was the one that got moved right after Kobe. So I tho… https://t.co/958m649Ul9,hoosiermumma,,
122,"@TheRealOJ32 The money is different than when you played, Juice! And if these players get COVID and god forbid peri… https://t.co/WmXbwJVoYd",PrettyGlobal23,"Cupertino, CA",
123,"@realDonaldTrump They’re sick alright...sick from COVID-19 and your ineptness, and also sick of you!… https://t.co/8VO5RLHVnl",jpfsportsfan,,
124,@ASlavitt “ I was the person who pipped in the fake fan sounds during games during covid-19” - some 20 something kid in a year from now,melmznart,"Providence, RI",
125,"@realTuckFrumper I know I’m not suppose to wish Covid on any other human, and I’ll leave it up to all of you to finish my sentence.",MilerRoxie,,
126,Exclusive: COVID-19 https://t.co/T2iuiFe81D,withoutname2020,,
127,this covid crap is trash and a big ass fluke but the hazard pay is amaaaaazing 🤑,macywtf,Somewhere in Tx,
128,Health Experts Urge A Shutdown Do-Over As COVID-19 Cases Surge https://t.co/0LtabOLK5b,CitizensIntel,USA ,
129,"🚨 Episode #39 is out! 🚨 

Find us on Apple, Spotify, PodBean and Soundcloud. Search: 1440 KEYS Benchwarmers 🎧 

Bel… https://t.co/UbNHmVVLMC",thebench1440,"Corpus Christi, TX",
130,"@WTUTeacher Did u pple social distance, wear masks when you dropped off the BODY BAGS? Bet NOT! NURSES,DOCTORS,TRUC… https://t.co/PdJ61bADHq",19JRHS,,
131,"@SenatorLankford @PC1170 @TalkRadio1170 Yeah, just can’t sue the company you work for when they give you Covid...bu… https://t.co/vDp6Zbx9xj",mr_greigh,,
132,He's a complete liar. #COVID19 #COVID__19 #Corona https://t.co/UPE1L3jPbU,CroadSpare,,
133,"I don't think many Americans understand how bad COVID is. 150,000 dead in five months is a horrific number. And tha… https://t.co/oEGzJ4BMr8",bwreed,"Boston, MA",
134,"Nothing says ""Depopulation"" like banning a drug that can cure the Virus. Ohio, WELCOME TO THE HUNGER GAMES! Where w… https://t.co/BalIP1MRl5",BluffsWatch,On my people's land,
135,"""It is possible to catch COVID-19 from someone who has just a mild cough and does not feel ill.
Some reports have i… https://t.co/2ebc9h1n9A",nobanner,,
136,@realDonaldTrump I really wasn't worried about low income housing in my neighborhood. I am worried about dying from covid#19.,venice199605,,
137,@dopegirlszine my sister had COVID-19 &amp; you know how they say it affects taste? she was eating alfredo sauce with chips.,allytncat,"Ann Arbor, MI",
138,Y’all gotta understand texas is a HOTSPOT for covid. Niggas haven’t been listening. Blame it on the ppl that think… https://t.co/hcGSY3bJtW,Fam0usKai,,
139,"COVID-19 and kids: Why understanding the impact on children is crucial
https://t.co/VFlWdZMS1f https://t.co/iOEXjzOKZD",Desotofamilyca1,,
140,"Top-ranked Ash Barty withdraws from US Open, citing Covid-19 https://t.co/2j9bFNJaoG https://t.co/jBp0BwafVF",NZStuffSport,New Zealand,
141,"@AlistairHaimes The average age of a covid fatality in the U.K. is 82, older than the average age of death in the U.K....",ellipticaltrnr,,
142,Primary school pupil has Covid-19 https://t.co/UDm8r8ZeJm https://t.co/xsi8wn5y92,asia_newstoday,Asia Pacific & South East Asia,
143,btw my mom didn’t die she just got covid while i’ve been staying at bri’s LMAOOO,stfu_tj,"Mcloud,OK",
144,Lord I pray for protection for all the health care workers keep us healthy and safe from Covid. Thank you Lord 🙏🙏🙏 https://t.co/bwv7lT9wPK,05juju99,Australia,
145,"Most people recover from COVID-19, but there is no cure for stupidity. https://t.co/of15ofbmSp",JohnAvignone,"Austin, TX",
146,Texans Are Now Dying Every Six Minutes From COVID-19 https://t.co/mHmPu7wBXn,hallandoatbran,"Bismarck, ND",
147,"Pritzker: Practices but no games for sports like football, given COVID-19 threat https://t.co/M77ufMAFqy",dhpreps,Suburbs of Chicago,
148,Our city is getting back to work and so are we! Excited to be back in the office after a Covid hiatus to support al… https://t.co/OBXU6HQkLI,NEONPR_,Las Vegas ,
149,"@MaxBoot 1st, most peeps don't really believe that number any more, go w/ it if u like. &amp; of the real deaths attrib… https://t.co/uP5N1Uu0DY",RiderHonu,,
150,"Bissanti, thanks, read just about all of it, not all doom and gloom on housing, need to explore the banking avenues… https://t.co/smOVGfaxJi",FranklinMatters,"Franklin, MA",
151,@DOES_DC If we qualified for regular UI due to COVID do we need to apply separately for the extension or will the a… https://t.co/elggbpOxsu,Jennife65900407,"Maryland, USA",
152,"He was healthy, active, and young.
And, then he got #COVID19.

TONIGHT on @arizonapbs at 5:30 &amp; 10:

Jose Cardenas… https://t.co/uyZUnswagS",Brillskymedia,"Phoenix, AZ",
153,i wish i could go out without being too scared of covid,EricE549,"Queens, NY",
